Configuración,Entidades Totales,TP,FP,FN,Precision,Recall,F1-Score,FP Basura Restante,FN Fugas Inducidas,FN No Detectado,Entidades Filtradas,Tasa Filtrado %
Base (Sin Filtro),113303,72579,40724,16592,64.06%,81.39%,0.7169,40724,0,16592,0,0.0%
Pipeline (aws2-gatekeeper_improved-llm-mejora-prompts),104638,69861,34777,19310,66.76%,78.34%,0.7209,34777,3065,16245,8665,7.6%
Pipeline (aws2-gatekeeper_improved-llm-mejora-prompts-reevaluado),102542,69228,33314,19943,67.51%,77.64%,0.7222,33314,3897,16046,10761,9.5%
