doc_id,chunk_size,overlap,gold_count,pred_count,tp,fp,fn,precision,recall,f1
NHC102219_episodio1008744732.txt,256,32,66,68,54,14,12,0.7941176470588235,0.8181818181818182,0.8059701492537314
NHC103087_episodio1008807132.txt,256,32,19,23,19,4,0,0.8260869565217391,1.0,0.9047619047619047
NHC103087_episodio1008807712.txt,256,32,51,62,46,16,5,0.7419354838709677,0.9019607843137255,0.8141592920353982
NHC103618_episodio1008373350.txt,256,32,63,74,54,20,9,0.7297297297297297,0.8571428571428571,0.7883211678832117
NHC103618_episodio1008373887.txt,256,32,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
NHC104109_episodio1008287424.txt,256,32,60,74,53,21,7,0.7162162162162162,0.8833333333333333,0.791044776119403
NHC106104_episodio1008739218.txt,256,32,2,2,2,0,0,1.0,1.0,1.0
NHC106104_episodio1008741129.txt,256,32,29,37,26,11,3,0.7027027027027027,0.896551724137931,0.787878787878788
NHC107102_episodio1008411058.txt,256,32,22,26,20,6,2,0.7692307692307693,0.9090909090909091,0.8333333333333333
NHC107102_episodio1008411916.txt,256,32,97,137,94,43,3,0.6861313868613139,0.9690721649484536,0.8034188034188036
NHC108175_episodio1008821007.txt,256,32,62,89,56,33,6,0.6292134831460674,0.9032258064516129,0.7417218543046358
NHC108981_episodio1008265273.txt,256,32,12,13,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999
NHC108981_episodio1008265564.txt,256,32,1,1,1,0,0,1.0,1.0,1.0
NHC109003_episodio1008474128.txt,256,32,70,85,65,20,5,0.7647058823529411,0.9285714285714286,0.8387096774193549
NHC109629_episodio1008259249.txt,256,32,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
