doc_id,chunk_size,overlap,gold_count,pred_count,tp,fp,fn,precision,recall,f1
NHC102219_episodio1008744732.txt,384,0,66,58,53,5,13,0.9137931034482759,0.803030303030303,0.8548387096774194
NHC103087_episodio1008807132.txt,384,0,19,20,19,1,0,0.95,1.0,0.9743589743589743
NHC103087_episodio1008807712.txt,384,0,51,58,45,13,6,0.7758620689655172,0.8823529411764706,0.8256880733944953
NHC103618_episodio1008373350.txt,384,0,63,62,54,8,9,0.8709677419354839,0.8571428571428571,0.864
NHC103618_episodio1008373887.txt,384,0,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
NHC104109_episodio1008287424.txt,384,0,60,63,53,10,7,0.8412698412698413,0.8833333333333333,0.8617886178861788
NHC106104_episodio1008739218.txt,384,0,2,2,2,0,0,1.0,1.0,1.0
NHC106104_episodio1008741129.txt,384,0,29,30,26,4,3,0.8666666666666667,0.896551724137931,0.8813559322033899
NHC107102_episodio1008411058.txt,384,0,22,25,20,5,2,0.8,0.9090909090909091,0.8510638297872342
NHC107102_episodio1008411916.txt,384,0,97,119,94,25,3,0.7899159663865546,0.9690721649484536,0.8703703703703703
NHC108175_episodio1008821007.txt,384,0,62,80,56,24,6,0.7,0.9032258064516129,0.7887323943661972
NHC108981_episodio1008265273.txt,384,0,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
NHC108981_episodio1008265564.txt,384,0,1,1,1,0,0,1.0,1.0,1.0
NHC109003_episodio1008474128.txt,384,0,70,75,66,9,4,0.88,0.9428571428571428,0.9103448275862068
NHC109629_episodio1008259249.txt,384,0,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
