Documento,Correctamente_Anonimizado,Texto_Conflictivo,Observaciones
b08a4c47-bbdb-4fca-a57a-6ecc65f4a76f.txt,Si,,
b8372294-d7d1-42e1-9c93-310dfad4b2f9.txt,Si,,
b8717e67-fc5c-4e8d-ae3d-45ab38788cfd.txt,No,General de Madrid,
bb659948-88a0-4718-92a3-d7dd9fd55800.txt,No,General de Madrid,
bcb49a3c-8fc0-43b0-a332-4f0a31169048.txt,Si,,
c17df678-20f0-437c-9bb0-94c367af4149.txt,Si,,
c473140a-0d2c-410e-bc90-58d139c56223.txt,Si,,
c4d879ec-93ab-4b44-947f-06aaf9a9ab3a.txt,Si,,
c590e6d0-d1c0-48d1-b7dd-c8761d30dd22.txt,Si,,
c6bea289-49ab-475a-ba95-d44b33da5bb8.txt,Si,,
c8608ced-e70d-4eeb-b76b-778aafdb6289.txt,Si,,
cbe9fa07-0330-47c3-aeaf-f08327f739c4.txt,Si,,
ce32ca1d-a8d3-4443-bb4a-5088d50dbb28.txt,Si,,
ce45bb29-9e79-4902-8f49-7c3f07eeb7f4.txt,Si,,
d05691f9-5ae7-4450-aa61-da73c7b4f62d.txt,Si,,
d1781eda-420a-4d68-9a44-7812352a48b0.txt,No,identificador de empleo **ID-EMP-789123**,
d5110afc-1fda-4b93-a816-43fefece7d84.txt,Si,,
db0c5dd6-b6d3-4ae5-99b8-b28eb560cb5f.txt,Si,,
dd6c4061-a678-448a-86b0-0be5d7a5e59d.txt,Si,,
e02fe88e-ba39-460f-87c1-0df7e8d175dc.txt,No,Clínico San Carlos,
e0516466-c9cd-426d-aea8-41f9287413d5.txt,Si,,
e223d5ee-c5fd-43e7-87ba-41c4a0b0f09c.txt,Si,,
e58afa34-1245-44ed-8c98-5fe49e87756a.txt,Si,,
e9bb80a6-89e6-4940-8730-c09af2427074.txt,Si,,
ed696542-5acf-4545-9e89-4b616831dda7.txt,Si,,
ed90a4a5-a0ea-4703-a1b7-ee21fd48a531.txt,Si,,
f0fdcd2b-e06d-41a7-8b38-83c696ff7602.txt,Si,,
f129910a-7593-4f4c-8e6e-b4686809c5ba.txt,Si,,
f23903d2-ac59-4019-a27b-57b8b1216edc.txt,Si,,
f8525128-b450-4e6e-b73c-d15e0a573fe2.txt,Si,,
faad235f-0736-461f-b028-07d96a29d82c.txt,Si,,
