Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
b45c8c51-6a3f-428b-bbee-d2996d62aec2.txt;Si;;
b7575829-0530-4015-87d5-4eb3de576af9.txt;Si;;
b75ad66b-0989-40b9-9ef7-50a64432fa09.txt;No;espa�ola;
b9dc6995-a633-4355-95b1-4cdee6fc2b7a.txt;Si;;
c096ded0-6e59-4b6d-aff5-a31366279792.txt;Si;;
c17df678-20f0-437c-9bb0-94c367af4149.txt;Si;;
c473140a-0d2c-410e-bc90-58d139c56223.txt;Si;;
c6bea289-49ab-475a-ba95-d44b33da5bb8.txt;Si;;
c8342b40-878a-4e51-b203-721c3d297365.txt;Si;;
c8608ced-e70d-4eeb-b76b-778aafdb6289.txt;Si;;
ca7ff411-1856-4b2c-a660-e526f5c0d87f.txt;Si;;
ce45bb29-9e79-4902-8f49-7c3f07eeb7f4.txt;Si;;
ce97b611-1ee8-4685-b69a-5cf4347fbe67.txt;Si;;
d99ccf70-8186-4357-98a3-bf9f847812a2.txt;Si;;
da7d71fa-0aa2-4217-876f-96b6c96c3df7.txt;Si;;
dbb9ba83-b1b1-4d42-b87e-505f650d2a6d.txt;Si;;
dd6c4061-a678-448a-86b0-0be5d7a5e59d.txt;Si;;
deb2950c-65fa-4c96-b737-86d047b84e01.txt;Si;;
e07e925a-69a7-4d83-9d7e-fea8c3773597.txt;Si;;
edffc5f4-6600-4fcf-9ae7-3b6fe6aa8ce8.txt;Si;;
ee4768be-6b34-4650-be30-6b1ccff0353b.txt;Si;;
eee98100-9d67-4048-add1-4decb9c3190a.txt;Si;;
ef435dd2-36d7-4da4-816f-8b77abec4343.txt;Si;;
f129910a-7593-4f4c-8e6e-b4686809c5ba.txt;Si;;
f13702f5-cbb7-4ef3-b2a2-8cc13d18b444.txt;Si;;
f327aa58-45a2-4abf-966c-d3f73cc08229.txt;Si;;
f750e4de-4423-46bf-9f71-c849868f1082.txt;No;General de Valencia;
fb127329-bf1d-472f-842d-b16071888018.txt;Si;;
fc6991f8-6f82-4f5e-a8ac-4e2a72afd196.txt;Si;;
fe15aba8-7f8b-47fd-b6bf-669f597604e1.txt;Si;;
