Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
b7b830d9-2a7b-48d7-bb10-80501cae9e28.txt;Si;;
b8717e67-fc5c-4e8d-ae3d-45ab38788cfd.txt;No;General de Madrid;
b9dc6995-a633-4355-95b1-4cdee6fc2b7a.txt;Si;;
bf3c3f29-364c-43c6-8500-4f191d5afcff.txt;Si;;
c14b00d7-2227-4e08-86c0-46e286e62574.txt;Si;;
c371b87b-3c3b-4d7a-87cc-018e9405d2d7.txt;Si;;
c562d75f-da8f-47a6-a0e2-c2e10b2032a6.txt;Si;;
c6508cba-0ed5-4d29-b173-4a3f827cd45c.txt;Duda;nacionalidad espa�ola;
ce97b611-1ee8-4685-b69a-5cf4347fbe67.txt;Si;;
d1781eda-420a-4d68-9a44-7812352a48b0.txt;No;ID-EMP-789123;
d3b561a8-ab7e-4d6a-b3f3-329ca9ce8043.txt;Si;;
d3eee9e6-c007-4c9c-a5aa-e247ee54a87c.txt;Si;;
d5110afc-1fda-4b93-a816-43fefece7d84.txt;No;;
d58f31ad-4be0-43a2-80e6-947da45ade4b.txt;Si;;
d6e5673e-f01c-4f5f-b98d-f1cf5019a905.txt;Si;;
deb2950c-65fa-4c96-b737-86d047b84e01.txt;Si;;
df168e2f-e645-4bae-80ef-58b2033e9f1b.txt;Si;;
df4d881b-c62a-493b-b7f1-a47eaa1c3ee8.txt;Si;;
e02fe88e-ba39-460f-87c1-0df7e8d175dc.txt;No;Cl�nico San Carlos;
e0516466-c9cd-426d-aea8-41f9287413d5.txt;Si;;
e07e925a-69a7-4d83-9d7e-fea8c3773597.txt;Si;;
e1cc2b95-74d4-402a-a1b6-e89154a90325.txt;Si;;
e943acb1-e48b-4d9b-8cd6-0a24e3ab1bb3.txt;Si;;
ef560192-7085-49b4-81ac-3acd03db11c0.txt;Si;;
f023dc89-0db4-4a89-8c63-6f139050f515.txt;Si;;
f0fdcd2b-e06d-41a7-8b38-83c696ff7602.txt;Si;;
f27dbcfa-90da-41b1-a365-7cbdc86a8b70.txt;Si;;
f327aa58-45a2-4abf-966c-d3f73cc08229.txt;Si;;
f41d914f-10d7-48f9-8474-9d50216aea91.txt;Si;;
f453419f-8c70-4d74-a52e-ba6f7c8f5aee.txt;Si;;
f750e4de-4423-46bf-9f71-c849868f1082.txt;No;General de Valencia;
