chunk_size,overlap,num_docs,tp,fp,fn,precision,recall,f1,time_s,combo_name
128,0,15,505,101,61,0.8333333333333334,0.892226148409894,0.8617747440273038,64.98229956626892,chunk128_ov0
128,32,15,508,311,58,0.6202686202686203,0.8975265017667845,0.7335740072202165,81.42593359947205,chunk128_ov32
128,64,15,515,692,51,0.4266777133388567,0.9098939929328622,0.5809362662154541,121.94505953788757,chunk128_ov64
256,0,15,510,99,56,0.8374384236453202,0.901060070671378,0.8680851063829788,47.80790591239929,chunk256_ov0
256,32,15,511,191,55,0.7279202279202279,0.9028268551236749,0.8059936908517351,53.96723747253418,chunk256_ov32
256,64,15,512,290,54,0.6384039900249376,0.9045936395759717,0.7485380116959064,62.81588292121887,chunk256_ov64
384,0,15,510,105,56,0.8292682926829268,0.901060070671378,0.863674851820491,73.14921140670776,chunk384_ov0
384,32,15,510,145,56,0.7786259541984732,0.901060070671378,0.8353808353808354,44.93512535095215,chunk384_ov32
384,64,15,510,218,56,0.7005494505494505,0.901060070671378,0.7882534775888717,37.86496329307556,chunk384_ov64
