chunk_size,overlap,num_docs,precision,recall,f1,avg_iou,tp,fp,fn,support
128,32,3,0.2727272727272727,0.022388059701492536,0.04137931034482758,0.0,3,8,131,134
128,0,3,0.2857142857142857,0.014925373134328358,0.028368794326241138,0.0,2,5,132,134
256,0,3,0.2857142857142857,0.014925373134328358,0.028368794326241138,0.0,2,5,132,134
256,32,3,0.14285714285714285,0.007462686567164179,0.014184397163120569,0.0,1,6,133,134
