chunk_size,overlap,num_docs,precision,recall,f1,avg_iou,tp,fp,fn,support
128,0,3,0.0,0.0,0.0,0.0,0,7,134,134
128,32,3,0.0,0.0,0.0,0.0,0,11,134,134
256,0,3,0.0,0.0,0.0,0.0,0,7,134,134
256,32,3,0.0,0.0,0.0,0.0,0,7,134,134
