chunk_size,overlap,num_docs,gold_total,pred_total,time_s
128,0,3,134,7,10.59357762336731
128,32,3,134,11,13.656598806381226
256,0,3,134,7,7.5476768016815186
256,32,3,134,7,8.641163110733032
