threshold,tp,tp_pct,fp,fp_pct,fn,fn_pct,tasa_fallo_riesgo,precision_anonimizacion,precision,recall,f1,total_detected,total_reference,num_docs
0.8,3622,82.18742909008395,358,8.99497487437186,785,17.812570909916044,0.0899497487437186,0.9100502512562814,0.9100502512562814,0.8218742909008395,0.8637176582806725,3980,4407,100
0.85,3593,81.52938506920808,338,8.598321037903842,814,18.470614930791925,0.08598321037903842,0.9140167896209616,0.9140167896209616,0.8152938506920808,0.8618373710721996,3931,4407,100
0.9,3552,80.59904697072838,305,7.907700285195748,855,19.400953029271616,0.07907700285195748,0.9209229971480425,0.9209229971480425,0.8059904697072838,0.8596321393998063,3857,4407,100
0.92,3528,80.05445881552076,293,7.668149699031668,879,19.945541184479236,0.07668149699031668,0.9233185030096833,0.9233185030096833,0.8005445881552076,0.8575595527467185,3821,4407,100
0.94,3495,79.30565010211028,281,7.4417372881355925,912,20.694349897889722,0.07441737288135593,0.925582627118644,0.925582627118644,0.7930565010211028,0.8542099474520346,3776,4407,100
0.95,3472,78.78375312003631,270,7.215392838054516,935,21.216246879963695,0.07215392838054516,0.9278460716194549,0.9278460716194549,0.787837531200363,0.8521290955945514,3742,4407,100
0.96,3418,77.55842977081915,256,6.967882416984214,989,22.441570229180847,0.06967882416984214,0.9303211758301578,0.9303211758301578,0.7755842977081915,0.8459349090459101,3674,4407,100
0.97,3356,76.15157703653279,243,6.75187552097805,1051,23.84842296346721,0.0675187552097805,0.9324812447902195,0.9324812447902195,0.7615157703653279,0.8383712215838122,3599,4407,100
0.98,3252,73.7916950306331,226,6.497987349051179,1155,26.208304969366917,0.06497987349051179,0.9350201265094882,0.9350201265094882,0.7379169503063309,0.824857324032974,3478,4407,100
0.99,3054,69.29884275017018,200,6.146281499692686,1353,30.701157249829812,0.06146281499692686,0.9385371850030731,0.9385371850030731,0.6929884275017019,0.7972849497454642,3254,4407,100
